INSERT INTO `npc_trainer` (`ID`,`SpellID`,`MoneyCost`,`ReqSkillLine`,`ReqSkillRank`,`ReqLevel`) VALUES 
('95001','28672','20000','171','325','68'),
('95001','28675','20000','171','325','68'),
('95001','28677','20000','171','325','68'),
('95001','2275','10','0','0','5'),
('95001','2280','500','171','50','10'),
('95001','2331','100','171','25','0'),
('95001','2332','150','171','40','0'),
('95001','2334','250','171','50','0'),
('95001','2337','1000','171','55','0'),
('95001','3170','50','171','15','0'),
('95001','3171','500','171','90','0'),
('95001','3173','1500','171','120','0'),
('95001','3176','1500','171','125','0'),
('95001','3177','2000','171','130','0'),
('95001','3447','4000','171','110','0'),
('95001','3448','5000','171','165','0'),
('95001','3450','6000','171','175','0'),
('95001','3452','5000','171','160','0'),
('95001','3465','5000','171','125','20'),
('95001','7179','450','171','90','0'),
('95001','7181','5000','171','155','0'),
('95001','7836','250','171','80','0'),
('95001','7837','1000','171','130','0'),
('95001','7841','1000','171','100','0'),
('95001','7845','3000','171','140','0'),
('95001','11448','9000','171','205','0'),
('95001','11449','6500','171','185','0'),
('95001','11450','7500','171','195','0'),
('95001','11451','8000','171','205','0'),
('95001','11457','10000','171','215','0'),
('95001','11460','5000','171','230','0'),
('95001','11461','10000','171','235','0'),
('95001','11465','12000','171','235','0'),
('95001','11467','12000','171','240','0'),
('95001','11478','14000','171','250','0'),
('95001','11612','50000','171','200','35'),
('95001','12609','8000','171','200','0'),
('95001','15833','10000','171','230','0'),
('95001','17551','15000','171','250','0'),
('95001','17552','15000','171','255','0'),
('95001','17553','15000','171','260','0'),
('95001','17555','15000','171','270','0'),
('95001','17556','20000','171','275','0'),
('95001','17557','20000','171','275','0'),
('95001','17572','20000','171','285','0'),
('95001','17573','20000','171','285','0'),
('95001','22808','10000','171','215','0'),
('95001','28544','25000','171','305','0'),
('95001','28545','25000','171','310','0'),
('95001','28551','50000','171','325','0'),
('95001','28597','100000','171','275','50'),
('95001','33732','20000','171','300','0'),
('95001','33733','25000','171','310','0'),
('95001','33738','20000','171','300','0'),
('95001','33740','20000','171','300','0'),
('95001','33741','30000','171','315','0'),
('95001','38070','20000','171','325','0'),
('95001','39636','25000','171','310','0'),
('95001','39638','30000','171','320','0'),
('95001','45061','30000','171','325','0'),
('95001','53042','10000','171','50','0'),
('95001','63732','2000','171','135','0'),
('95001','51303','350000','171','350','65'),
('95001','53812','60000','171','375','0'),
('95001','53836','150000','171','405','0'),
('95001','53837','150000','171','410','0'),
('95001','53838','40000','171','350','0'),
('95001','53839','40000','171','360','0'),
('95001','53840','120000','171','395','0'),
('95001','53841','40000','171','355','0'),
('95001','53842','40000','171','365','0'),
('95001','53847','65000','171','385','0'),
('95001','53848','60000','171','375','0'),
('95001','53898','120000','171','390','0'),
('95001','53899','60000','171','375','0'),
('95001','53900','120000','171','380','0'),
('95001','53901','180000','171','435','0'),
('95001','53902','150000','171','435','0'),
('95001','53903','180000','171','435','0'),
('95001','53905','120000','171','395','0'),
('95001','54213','150000','171','435','0'),
('95001','54218','120000','171','385','0'),
('95001','57425','150000','171','430','0'),
('95001','57427','150000','171','425','0'),
('95001','58868','150000','171','410','0'),
('95001','58871','150000','171','410','0'),
('95001','60350','150000','171','395','0'),
('95001','60367','120000','171','395','0'),
('95001','60396','200000','171','400','0'),
('95001','60403','200000','171','400','0'),
('95001','60405','200000','171','400','0'),
('95001','60893','200000','171','400','0'),
('95001','62213','120000','171','385','0'),
('95001','62409','60000','171','375','0'),
('95001','66658','150000','171','450','0'),
('95001','66660','150000','171','450','0'),
('95001','66662','150000','171','450','0'),
('95001','66663','150000','171','450','0'),
('95001','66664','150000','171','450','0'),
('95001','67025','100000','171','425','0'),
('95002','16642','10000','164','250','0'),
('95002','16643','10000','164','250','0'),
('95002','16644','10000','164','255','0'),
('95002','16652','10000','164','280','0'),
('95002','16653','10000','164','280','0'),
('95002','16662','12000','164','300','0'),
('95002','16969','15000','164','275','0'),
('95002','16971','15000','164','280','0'),
('95002','9787','20000','164','200','40'),
('95002','9788','20000','164','200','40'),
('95002','2020','10','0','0','5'),
('95002','2021','500','164','50','10'),
('95002','2661','100','164','35','0'),
('95002','2662','50','164','1','0'),
('95002','2664','500','164','90','0'),
('95002','2665','100','164','65','0'),
('95002','2666','200','164','70','0'),
('95002','2668','300','164','105','0'),
('95002','2670','500','164','105','0'),
('95002','2672','500','164','120','0'),
('95002','2674','1000','164','125','0'),
('95002','2675','1000','164','145','0'),
('95002','2737','50','164','15','0'),
('95002','2738','50','164','20','0'),
('95002','2739','50','164','25','0'),
('95002','2740','200','164','110','0'),
('95002','2741','200','164','115','0'),
('95002','2742','200','164','120','0'),
('95002','3116','100','164','65','0'),
('95002','3117','1000','164','125','0'),
('95002','3292','500','164','95','0'),
('95002','3293','250','164','35','0'),
('95002','3294','500','164','70','0'),
('95002','3296','1000','164','130','0'),
('95002','3319','50','164','20','0'),
('95002','3320','100','164','25','0'),
('95002','3323','100','164','40','0'),
('95002','3324','200','164','45','0'),
('95002','3326','250','164','75','0'),
('95002','3328','500','164','110','0'),
('95002','3331','500','164','130','0'),
('95002','3333','1000','164','135','0'),
('95002','3337','1000','164','125','0'),
('95002','3491','600','164','105','0'),
('95002','3501','1000','164','165','0'),
('95002','3502','1250','164','170','0'),
('95002','3506','5000','164','155','0'),
('95002','3508','7500','164','180','0'),
('95002','3539','5000','164','125','20'),
('95002','6517','800','164','110','0'),
('95002','7223','1000','164','185','0'),
('95002','7408','300','164','65','0'),
('95002','7817','200','164','95','0'),
('95002','7818','100','164','100','0'),
('95002','8768','250','164','150','0'),
('95002','8880','100','164','30','0'),
('95002','9786','50000','164','200','35'),
('95002','9916','2500','164','200','0'),
('95002','9918','2500','164','200','0'),
('95002','9920','2500','164','200','0'),
('95002','9921','2500','164','200','0'),
('95002','9926','5000','164','205','0'),
('95002','9928','5000','164','205','0'),
('95002','9931','5000','164','210','0'),
('95002','9935','5000','164','215','0'),
('95002','9959','15000','164','230','0'),
('95002','9961','15000','164','230','0'),
('95002','9968','20000','164','235','0'),
('95002','9983','100','164','30','0'),
('95002','9985','250','164','125','0'),
('95002','9986','500','164','130','0'),
('95002','9987','500','164','135','0'),
('95002','9993','10000','164','210','0'),
('95002','10001','15000','164','230','0'),
('95002','14379','250','164','150','0'),
('95002','14380','2500','164','200','0'),
('95002','15972','7500','164','180','0'),
('95002','16639','10000','164','250','0'),
('95002','16640','10000','164','250','0'),
('95002','16641','10000','164','250','0'),
('95002','19666','100','164','100','0'),
('95002','19667','250','164','150','0'),
('95002','19668','2500','164','200','0'),
('95002','19669','10000','164','275','0'),
('95002','20201','10000','164','275','0'),
('95002','29545','15000','164','300','0'),
('95002','29547','15000','164','305','0'),
('95002','29548','20000','164','315','0'),
('95002','29549','20000','164','315','0'),
('95002','29550','25000','164','325','0'),
('95002','29551','15000','164','300','0'),
('95002','29552','18000','164','310','0'),
('95002','29553','20000','164','315','0'),
('95002','29556','22000','164','320','0'),
('95002','29557','18000','164','310','0'),
('95002','29558','20000','164','315','0'),
('95002','29565','22000','164','320','0'),
('95002','29654','15000','164','300','0'),
('95002','29845','100000','164','275','50'),
('95002','32284','25000','164','325','0'),
('95002','32655','10000','164','300','0'),
('95002','34607','15000','164','300','0'),
('95002','34979','600','164','100','0'),
('95002','34981','7500','164','200','0'),
('95002','34982','10000','164','300','0'),
('95002','34983','50000','164','350','0'),
('95002','51298','350000','164','350','65'),
('95002','52567','30000','164','370','0'),
('95002','52568','30000','164','350','0'),
('95002','52569','30000','164','350','0'),
('95002','52570','30000','164','375','0'),
('95002','52571','30000','164','370','0'),
('95002','52572','30000','164','360','0'),
('95002','54550','30000','164','360','0'),
('95002','54551','40000','164','395','0'),
('95002','54552','40000','164','400','0'),
