select entry, name, subname from creature_template where entry >= '60000';

601014 - ALL MOUNTS VENDOR
199999 - Profession NPC
190010 - Transmog
800000 - Gadgetzan Guard - Level 83
800001 - Gadgetzan Innkeeper - Level 80

+---------+------------------------------------+-----------------------------+
| entry   | name                               | subname                     |
+---------+------------------------------------+-----------------------------+
|   61021 | Adyen the Lightwarden              | NULL                        |
|   70100 | Conversing With the Depths Trigger |                             |
|   95001 | Alchemy                            | Grand Master Trainer        |
|   95002 | Blacksmithing                      | Grand Master Trainer        |
|   95003 | Enchanting                         | Grand Master Trainer        |
|   95004 | Engineering                        | Grand Master Trainer        |
|   95005 | Herbalism                          | Grand Master Trainer        |
|   95006 | Inscription                        | Grand Master Trainer        |
|   95007 | Jewelcrafting                      | Grand Master Trainer        |
|   95008 | Leatherworking                     | Grand Master Trainer        |
|   95009 | Mining                             | Grand Master Trainer        |
|   95010 | Skinning                           | Grand Master Trainer        |
|   95011 | Tailoring                          | Grand Master Trainer        |
|   95012 | Cooking                            | Grand Master Trainer        |
|   95013 | First Aid                          | Grand Master Trainer        |
|   95014 | Fishing                            | Grand Master Trainer        |
|   95015 | Death Knight                       | Class Trainer               |
|   95016 | Druid                              | Class Trainer               |
|   95017 | Hunter                             | Class Trainer               |
|   95018 | Mage                               | Class Trainer               |
|   95019 | Paladin                            | Class Trainer               |
|   95020 | Priest                             | Class Trainer               |
|   95021 | Rogue                              | Class Trainer               |
|   95022 | Shaman                             | Class Trainer               |
|   95023 | Warlock                            | Class Trainer               |
|   95024 | Warrior                            | Class Trainer               |
|   95025 | Weapon Master                      | Global Trainer              |
|   95026 | Flying Instructor                  | Global Trainer              |
|  179820 | Q-9759 Trigger Barrel Bomb         |                             |
|  182753 | Kor'kron Honor Guard               |                             |
|  182754 | Kor'kron Honor Guard               |                             |
|  182755 | Kor'kron Warrior                   |                             |
|  182756 | Kor'kron Warrior                   |                             |
|  182757 | Kor'kron Warrior                   |                             |
|  182758 | Kor'kron Warrior                   |                             |
|  182759 | Kor'kron Warrior                   |                             |
|  182760 | Kor'kron Warrior                   |                             |
|  182761 | Kor'kron Warrior                   |                             |
|  182762 | Kor'kron Warrior                   |                             |
|  182763 | Kor'kron Warrior                   |                             |
|  182764 | Kor'kron Warrior                   |                             |
|  182765 | Kor'kron Warrior                   |                             |
