id	kind	reference	status	issue	source_manifest	schema_evidence	values_evidence	relations_evidence	runtime_evidence	notes
assets:maps	map-artifacts	c699217775d90794158422387b07a917e161b582:src/tools	unassessed	-	-	-	-	-	-	Pin source archives, extractor/tool commit, map build/version, tile inventory, and output hashes.
assets:mmaps	map-artifacts	c699217775d90794158422387b07a917e161b582:src/tools	unassessed	-	-	-	-	-	-	Pin map/VMAP inputs, generator settings/tool commit, tile inventory, and output hashes.
assets:vmaps	map-artifacts	c699217775d90794158422387b07a917e161b582:src/tools	unassessed	-	-	-	-	-	-	Pin VMAP extraction/assembly inputs, tool commit, geometry inventory, and output hashes.
client:Achievement.dbc	dbc	c699217775d90794158422387b07a917e161b582:src/server/game/DataStores/DBCStores.cpp#Achievement.dbc	unassessed	-	-	-	-	-	-	Reference inventory only; AC schema, records, relations, and runtime parity unverified.
client:Achievement_Criteria.dbc	dbc	c699217775d90794158422387b07a917e161b582:src/server/game/DataStores/DBCStores.cpp#Achievement_Criteria.dbc	unassessed	-	-	-	-	-	-	Reference inventory only; AC schema, records, relations, and runtime parity unverified.
client:AnimKit.dbc	dbc	c699217775d90794158422387b07a917e161b582:src/server/game/DataStores/DBCStores.cpp#AnimKit.dbc	unassessed	-	-	-	-	-	-	Reference inventory only; AC schema, records, relations, and runtime parity unverified.
client:AreaGroup.dbc	dbc	c699217775d90794158422387b07a917e161b582:src/server/game/DataStores/DBCStores.cpp#AreaGroup.dbc	unassessed	-	-	-	-	-	-	Reference inventory only; AC schema, records, relations, and runtime parity unverified.
client:AreaPOI.dbc	dbc	c699217775d90794158422387b07a917e161b582:src/server/game/DataStores/DBCStores.cpp#AreaPOI.dbc	unassessed	-	-	-	-	-	-	Reference inventory only; AC schema, records, relations, and runtime parity unverified.
client:AreaTable.dbc	dbc	c699217775d90794158422387b07a917e161b582:src/server/game/DataStores/DBCStores.cpp#AreaTable.dbc	unassessed	-	-	-	-	-	-	Reference inventory only; AC schema, records, relations, and runtime parity unverified.
client:AreaTrigger.dbc	dbc	c699217775d90794158422387b07a917e161b582:src/server/game/DataStores/DBCStores.cpp#AreaTrigger.dbc	unassessed	-	-	-	-	-	-	Reference inventory only; AC schema, records, relations, and runtime parity unverified.
client:ArmorLocation.dbc	dbc	c699217775d90794158422387b07a917e161b582:src/server/game/DataStores/DBCStores.cpp#ArmorLocation.dbc	unassessed	-	-	-	-	-	-	Reference inventory only; AC schema, records, relations, and runtime parity unverified.
client:AuctionHouse.dbc	dbc	c699217775d90794158422387b07a917e161b582:src/server/game/DataStores/DBCStores.cpp#AuctionHouse.dbc	unassessed	-	-	-	-	-	-	Reference inventory only; AC schema, records, relations, and runtime parity unverified.
client:BankBagSlotPrices.dbc	dbc	c699217775d90794158422387b07a917e161b582:src/server/game/DataStores/DBCStores.cpp#BankBagSlotPrices.dbc	unassessed	-	-	-	-	-	-	Reference inventory only; AC schema, records, relations, and runtime parity unverified.
client:BannedAddOns.dbc	dbc	c699217775d90794158422387b07a917e161b582:src/server/game/DataStores/DBCStores.cpp#BannedAddOns.dbc	unassessed	-	-	-	-	-	-	Reference inventory only; AC schema, records, relations, and runtime parity unverified.
client:BarberShopStyle.dbc	dbc	c699217775d90794158422387b07a917e161b582:src/server/game/DataStores/DBCStores.cpp#BarberShopStyle.dbc	unassessed	-	-	-	-	-	-	Reference inventory only; AC schema, records, relations, and runtime parity unverified.
client:BattlemasterList.dbc	dbc	c699217775d90794158422387b07a917e161b582:src/server/game/DataStores/DBCStores.cpp#BattlemasterList.dbc	unassessed	-	-	-	-	-	-	Reference inventory only; AC schema, records, relations, and runtime parity unverified.
client:CharSections.dbc	dbc	c699217775d90794158422387b07a917e161b582:src/server/game/DataStores/DBCStores.cpp#CharSections.dbc	unassessed	-	-	-	-	-	-	Reference inventory only; AC schema, records, relations, and runtime parity unverified.
client:CharStartOutfit.dbc	dbc	c699217775d90794158422387b07a917e161b582:src/server/game/DataStores/DBCStores.cpp#CharStartOutfit.dbc	blocked	#57	-	-	apps/cata/fixtures/plan22-starting-data-audit.json	-	-	Blocked by #57: selected Cata starting profile differs from current server inputs; full loader/value/runtime parity unverified.
client:CharTitles.dbc	dbc	c699217775d90794158422387b07a917e161b582:src/server/game/DataStores/DBCStores.cpp#CharTitles.dbc	unassessed	-	-	-	-	-	-	Reference inventory only; AC schema, records, relations, and runtime parity unverified.
client:ChatChannels.dbc	dbc	c699217775d90794158422387b07a917e161b582:src/server/game/DataStores/DBCStores.cpp#ChatChannels.dbc	unassessed	-	-	-	-	-	-	Reference inventory only; AC schema, records, relations, and runtime parity unverified.
client:ChrClasses.dbc	dbc	c699217775d90794158422387b07a917e161b582:src/server/game/DataStores/DBCStores.cpp#ChrClasses.dbc	unassessed	-	-	-	-	-	-	Reference inventory only; AC schema, records, relations, and runtime parity unverified.
client:ChrClassesXPowerTypes.dbc	dbc	c699217775d90794158422387b07a917e161b582:src/server/game/DataStores/DBCStores.cpp#ChrClassesXPowerTypes.dbc	unassessed	-	-	-	-	-	-	Reference inventory only; AC schema, records, relations, and runtime parity unverified.
client:ChrRaces.dbc	dbc	c699217775d90794158422387b07a917e161b582:src/server/game/DataStores/DBCStores.cpp#ChrRaces.dbc	unassessed	-	-	-	-	-	-	Reference inventory only; AC schema, records, relations, and runtime parity unverified.
client:CinematicCamera.dbc	dbc	c699217775d90794158422387b07a917e161b582:src/server/game/DataStores/DBCStores.cpp#CinematicCamera.dbc	unassessed	-	-	-	-	-	-	Reference inventory only; AC schema, records, relations, and runtime parity unverified.
client:CinematicSequences.dbc	dbc	c699217775d90794158422387b07a917e161b582:src/server/game/DataStores/DBCStores.cpp#CinematicSequences.dbc	unassessed	-	-	-	-	-	-	Reference inventory only; AC schema, records, relations, and runtime parity unverified.
client:CreatureDisplayInfo.dbc	dbc	c699217775d90794158422387b07a917e161b582:src/server/game/DataStores/DBCStores.cpp#CreatureDisplayInfo.dbc	unassessed	-	-	-	-	-	-	Reference inventory only; AC schema, records, relations, and runtime parity unverified.
client:CreatureDisplayInfoExtra.dbc	dbc	c699217775d90794158422387b07a917e161b582:src/server/game/DataStores/DBCStores.cpp#CreatureDisplayInfoExtra.dbc	unassessed	-	-	-	-	-	-	Reference inventory only; AC schema, records, relations, and runtime parity unverified.
client:CreatureFamily.dbc	dbc	c699217775d90794158422387b07a917e161b582:src/server/game/DataStores/DBCStores.cpp#CreatureFamily.dbc	unassessed	-	-	-	-	-	-	Reference inventory only; AC schema, records, relations, and runtime parity unverified.
client:CreatureModelData.dbc	dbc	c699217775d90794158422387b07a917e161b582:src/server/game/DataStores/DBCStores.cpp#CreatureModelData.dbc	unassessed	-	-	-	-	-	-	Reference inventory only; AC schema, records, relations, and runtime parity unverified.
client:CreatureSpellData.dbc	dbc	c699217775d90794158422387b07a917e161b582:src/server/game/DataStores/DBCStores.cpp#CreatureSpellData.dbc	unassessed	-	-	-	-	-	-	Reference inventory only; AC schema, records, relations, and runtime parity unverified.
client:CreatureType.dbc	dbc	c699217775d90794158422387b07a917e161b582:src/server/game/DataStores/DBCStores.cpp#CreatureType.dbc	unassessed	-	-	-	-	-	-	Reference inventory only; AC schema, records, relations, and runtime parity unverified.
client:CurrencyTypes.dbc	dbc	c699217775d90794158422387b07a917e161b582:src/server/game/DataStores/DBCStores.cpp#CurrencyTypes.dbc	unassessed	-	-	-	-	-	-	Reference inventory only; AC schema, records, relations, and runtime parity unverified.
client:DestructibleModelData.dbc	dbc	c699217775d90794158422387b07a917e161b582:src/server/game/DataStores/DBCStores.cpp#DestructibleModelData.dbc	unassessed	-	-	-	-	-	-	Reference inventory only; AC schema, records, relations, and runtime parity unverified.
client:DungeonEncounter.dbc	dbc	c699217775d90794158422387b07a917e161b582:src/server/game/DataStores/DBCStores.cpp#DungeonEncounter.dbc	unassessed	-	-	-	-	-	-	Reference inventory only; AC schema, records, relations, and runtime parity unverified.
client:DurabilityCosts.dbc	dbc	c699217775d90794158422387b07a917e161b582:src/server/game/DataStores/DBCStores.cpp#DurabilityCosts.dbc	unassessed	-	-	-	-	-	-	Reference inventory only; AC schema, records, relations, and runtime parity unverified.
client:DurabilityQuality.dbc	dbc	c699217775d90794158422387b07a917e161b582:src/server/game/DataStores/DBCStores.cpp#DurabilityQuality.dbc	unassessed	-	-	-	-	-	-	Reference inventory only; AC schema, records, relations, and runtime parity unverified.
client:Emotes.dbc	dbc	c699217775d90794158422387b07a917e161b582:src/server/game/DataStores/DBCStores.cpp#Emotes.dbc	unassessed	-	-	-	-	-	-	Reference inventory only; AC schema, records, relations, and runtime parity unverified.
client:EmotesText.dbc	dbc	c699217775d90794158422387b07a917e161b582:src/server/game/DataStores/DBCStores.cpp#EmotesText.dbc	unassessed	-	-	-	-	-	-	Reference inventory only; AC schema, records, relations, and runtime parity unverified.
client:EmotesTextSound.dbc	dbc	c699217775d90794158422387b07a917e161b582:src/server/game/DataStores/DBCStores.cpp#EmotesTextSound.dbc	unassessed	-	-	-	-	-	-	Reference inventory only; AC schema, records, relations, and runtime parity unverified.
client:Faction.dbc	dbc	c699217775d90794158422387b07a917e161b582:src/server/game/DataStores/DBCStores.cpp#Faction.dbc	unassessed	-	-	-	-	-	-	Reference inventory only; AC schema, records, relations, and runtime parity unverified.
client:FactionTemplate.dbc	dbc	c699217775d90794158422387b07a917e161b582:src/server/game/DataStores/DBCStores.cpp#FactionTemplate.dbc	unassessed	-	-	-	-	-	-	Reference inventory only; AC schema, records, relations, and runtime parity unverified.
client:GameObjectArtKit.dbc	dbc	c699217775d90794158422387b07a917e161b582:src/server/game/DataStores/DBCStores.cpp#GameObjectArtKit.dbc	unassessed	-	-	-	-	-	-	Reference inventory only; AC schema, records, relations, and runtime parity unverified.
client:GameObjectDisplayInfo.dbc	dbc	c699217775d90794158422387b07a917e161b582:src/server/game/DataStores/DBCStores.cpp#GameObjectDisplayInfo.dbc	unassessed	-	-	-	-	-	-	Reference inventory only; AC schema, records, relations, and runtime parity unverified.
client:GemProperties.dbc	dbc	c699217775d90794158422387b07a917e161b582:src/server/game/DataStores/DBCStores.cpp#GemProperties.dbc	unassessed	-	-	-	-	-	-	Reference inventory only; AC schema, records, relations, and runtime parity unverified.
client:GlyphProperties.dbc	dbc	c699217775d90794158422387b07a917e161b582:src/server/game/DataStores/DBCStores.cpp#GlyphProperties.dbc	unassessed	-	-	-	-	-	-	Reference inventory only; AC schema, records, relations, and runtime parity unverified.
client:GlyphSlot.dbc	dbc	c699217775d90794158422387b07a917e161b582:src/server/game/DataStores/DBCStores.cpp#GlyphSlot.dbc	unassessed	-	-	-	-	-	-	Reference inventory only; AC schema, records, relations, and runtime parity unverified.
client:GuildPerkSpells.dbc	dbc	c699217775d90794158422387b07a917e161b582:src/server/game/DataStores/DBCStores.cpp#GuildPerkSpells.dbc	unassessed	-	-	-	-	-	-	Reference inventory only; AC schema, records, relations, and runtime parity unverified.
